Origin			Destination			Stops
==========================================================================
Aberdeen                        	Alicante, Spain                 	1	
Aberdeen                        	Amsterdam, N/lands              	3	
Aberdeen                        	Aruba, Neth Antilles            	4	
Aberdeen                        	Athens, Greece                  	3	
Aberdeen                        	Atlanta, Geo, USA               	4	
Aberdeen                        	Barcelona, Spain                	4	
Aberdeen                        	Basle, Switzerland              	1	
Aberdeen                        	Belfast, N. Ireland             	1	
Aberdeen                        	Belgrade, Serbia                	1	
Aberdeen                        	Berlin, Tegel Apt               	1	
Aberdeen                        	Bilbao, Spain                   	4	
Aberdeen                        	Birmingham Intl                 	5	
Aberdeen                        	Bologna, Italy                  	1	
Aberdeen                        	Boston, Mass., USA              	1	
Aberdeen                        	Bristol, Lulsgate               	4	
Aberdeen                        	Brussels Zaventem               	3	
Aberdeen                        	Calgary, Canada                 	5	
Aberdeen                        	CDG, Paris, France              	2	
Aberdeen                        	Chicago,OHare,Il                	4	
Aberdeen                        	Cincinnati, USA                 	3	
Aberdeen                        	Copenhagen, Kastrup             	3	
Aberdeen                        	Dallas, Tx, USA                 	1	
Aberdeen                        	Damascus, Syria                 	1	
Aberdeen                        	Detroit, Mich, USA              	5	
Aberdeen                        	Dubai, U. A. E.                 	1	
Aberdeen                        	Dublin, Ireland                 	5	
Aberdeen                        	Dusseldorf, Germany             	5	
Aberdeen                        	Edinburgh                       	6	
Aberdeen                        	Faro, Portugal                  	4	
Aberdeen                        	Frankfurt, Germany              	4	
Aberdeen                        	Geneva, Switzerland             	1	
Aberdeen                        	Glasgow, Scotland               	6	
Aberdeen                        	Gothenburg, Sweden              	1	
Aberdeen                        	Guernsey, Channel Is            	5	
Aberdeen                        	Hamburg, Germany                	5	
Aberdeen                        	Harare, Zimbabwe                	1	
Aberdeen                        	Houston Intl,Tx,USA             	4	
Aberdeen                        	Huntsville, Al, USA             	2	
Aberdeen                        	Islamabad, Pakistan             	6	
Aberdeen                        	Istanbul, Turkey                	1	
Aberdeen                        	Jersey, Channel Is.             	1	
Aberdeen                        	JFK, New York                   	2	
Aberdeen                        	Kiev, Borispool, Ukr            	1	
Aberdeen                        	Krakow, Poland                  	1	
Aberdeen                        	Kuala Lumpur, Malay.            	1	
Aberdeen                        	Las Palmas, Canaries            	4	
Aberdeen                        	LBP, Toronto, Canada            	1	
Aberdeen                        	Leeds/Bradford                  	4	
Aberdeen                        	Leipzig, Germany                	1	
Aberdeen                        	Lisbon, Portugal                	4	
Aberdeen                        	London City                     	5	
Aberdeen                        	London Gatwick                  	0	
Aberdeen                        	London Heathrow                 	0	
Aberdeen                        	Los Angeles, USA                	5	
Aberdeen                        	Luxembourg                      	1	
Aberdeen                        	Lyon, France                    	1	
Aberdeen                        	Malaga, Spain                   	4	
Aberdeen                        	Manchester Intl                 	5	
Aberdeen                        	Marseille, France               	1	
Aberdeen                        	Memphis, Ten., USA              	4	
Aberdeen                        	Mexico City, Mexico             	3	
